songplays_id,track_id,track_name,track_duration,track_is_explicit,track_popularity,track_played_at,album_id,album_name,album_release_year,album_type,artist_name,artist_name_others,artist_id,artist_id_others,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,artist_popularity,artist_followers,artist_genre,artist_genre_others
11,1YWSu9evuI3YMR8n3tq2fv,Odio - Remix,4.994883333333333,False,29,2021-08-31 00:30:28,1k6tBtbdxKac7phP7UrmY4,Odio (Remix),2017,album,Baby Rasta & Gringo,"Ñengo Flow, Arcangel, Tego Calderon",3IEvQoAohcGX7CdrbtIle7,"12vb80Km0Ew53ABfJOepVz, 4SsVbpTthjScTS7U2hmr1X, 3SUT1jjM5hzZj9TLfLZGIP",0.731,0.735,6,-6.975,1,0.293,0.161,0.0,0.224,0.931,64,2211722,latin,"latin hip hop, perreo, reggaeton, reggaeton flow, salsa choke, trap latino"
12,3eIO6Z1PYfD4MLtKLcoIRH,Me Tienes Loco (feat. Jory),3.4468833333333335,True,32,2021-08-31 00:25:28,25B9KRl9YMz7jsl9aiDaSx,El Imperio Nazza: J. Alvarez Edition,2012,album,J Alvarez,Jory Boy,6XFITTl7cFTdopDY3lUdlY,5lFhCi03HDneWzvCxGctrT,0.548,0.915,5,-3.438,0,0.0778,0.324,0.0,0.643,0.675,72,4003766,latin,"latin hip hop, perreo, reggaeton, reggaeton flow, trap latino"
13,2tFwfmceQa1Y6nRPhYbEtC,CÓMO SE SIENTE - Remix,3.792,True,80,2021-08-31 00:22:01,0VLl6NV05DjwNE2lZFdCEI,CÓMO SE SIENTE (Remix),2020,album,Jhay Cortez,Bad Bunny,0EFisYRi20PTADoJrifHrz,4q3ewBCX7sLwd24euuV69X,0.807,0.606,3,-8.871,0,0.088,0.0946,0.0,0.119,0.304,91,2513787,latin,"reggaeton, trap latino"
14,7yxWmnTrXBxevDiMf2qrqI,Luna Llena,4.143766666666667,False,42,2021-08-30 21:36:24,6mGDfbDErYIJsmSewvccWm,Meet The Orphans,2010,album,Don Omar,,33ScadVnbm2X8kkUqOkC6Z,,0.735,0.787,10,-6.299,0,0.0366,0.00113,1.21e-06,0.242,0.394,84,5785285,latin,"latin hip hop, puerto rican pop, reggaeton, trap latino"
15,6e3KHNgpiG6EZkx57Emign,Te Reto,3.870216666666667,False,47,2021-08-30 21:32:15,1uxGca178a0y4UhKtxG0Kl,Te Reto,2021,album,Alexis y Fido,Yandel,7tU1VKOuxiNZwBZC6RHidA,0eHQ9o50hj6ZDNBt6Ys1sD,0.824,0.681,6,-5.473,0,0.315,0.0107,0.0,0.15,0.516,69,3757393,latin,"latin hip hop, reggaeton, reggaeton flow, trap latino"
16,1aYcpI8hXtpAEdBq8fp1pH,Quiero Mas,4.07155,False,57,2021-08-30 21:21:53,0SukGZiXMtmsZoxstkBtNR,Aura,2018,album,Ozuna,"Wisin, Yandel",1i8SpTcr7yvPOmcqrbnVXY,"3E6xrwgnVfYCrCs0ePERDz, 0eHQ9o50hj6ZDNBt6Ys1sD",0.768,0.821,7,-4.7,1,0.0437,0.0256,3.17e-06,0.165,0.516,92,29407403,latin,"puerto rican pop, reggaeton, trap latino"
17,5bDNU3Z4OOT2FeMxtbl8Kq,Gistro Amarillo,3.848,False,45,2021-08-30 21:16:36,69iuPQsXel3luOSDNF0q2Q,Enoc,2020,album,Ozuna,Wisin,1i8SpTcr7yvPOmcqrbnVXY,3E6xrwgnVfYCrCs0ePERDz,0.79,0.843,8,-3.759,1,0.244,0.211,0.0,0.0938,0.754,92,29407403,latin,"puerto rican pop, reggaeton, trap latino"
18,2tFwfmceQa1Y6nRPhYbEtC,CÓMO SE SIENTE - Remix,3.792,True,80,2021-08-30 21:08:38,0VLl6NV05DjwNE2lZFdCEI,CÓMO SE SIENTE (Remix),2020,album,Jhay Cortez,Bad Bunny,0EFisYRi20PTADoJrifHrz,4q3ewBCX7sLwd24euuV69X,0.807,0.606,3,-8.871,0,0.088,0.0946,0.0,0.119,0.304,91,2513787,latin,"reggaeton, trap latino"
19,27ebni0DfbT5Owz6W42HP8,Nunca Me Olvides,4.026,False,58,2021-08-30 20:59:59,2zD0vIQjiaFbumnbjWC6WY,Dangerous,2015,album,Yandel,,0eHQ9o50hj6ZDNBt6Ys1sD,,0.814,0.785,10,-4.566,1,0.0452,0.236,0.0,0.297,0.629,82,5203604,latin,"latin hip hop, reggaeton, reggaeton flow, trap latino"
20,0pHxl604r0OYmGdMNtbTyY,Aqui Esta Tu Caldo,3.541333333333333,True,55,2021-08-30 20:55:17,3WevV5bSmPBELWxYeCBIqc,"Blin Blin, Vol. 1",2003,album,Daddy Yankee,,4VMYDCV2IEDYJArk749S6m,,0.887,0.747,11,-7.633,1,0.0973,0.119,0.000157,0.129,0.779,91,24091521,latin,"latin hip hop, reggaeton, trap latino"
